County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,739,53,792,168.5,23
Adams,3,,3,70.6,
Bannock,12,4,16,18.4,
Bear Lake,,,0,,
Benewah,,,0,,
Bingham,6,,6,13,
Blaine,498,11,509,"2,252.10",5
Boise,,,0,,
Bonner,4,,4,8.9,
Bonneville,18,14,32,27.4,
Boundary,,,0,,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,260,20,280,125.3,6
Caribou,1,,1,14.2,
Cassia,19,1,20,83.8,1
Clark,,,0,,
Clearwater,,,0,,
Custer,2,,2,46.7,
Elmore,30,1,31,113.7,2
Franklin,,,0,,
Fremont,2,1,3,22.8,
Gem,12,4,16,90.7,
Gooding,24,5,29,190.8,
Idaho,3,,3,18.2,
Jefferson,5,2,7,23.8,
Jerome,91,19,110,458,2
Kootenai,66,,66,40.9,
Latah,5,1,6,14.9,
Lemhi,1,,1,12.6,
Lewis,,,0,,
Lincoln,27,2,29,541,
Madison,12,8,20,50.9,
Minidoka,16,4,20,96,
Nez Perce,72,9,81,200.5,19
Oneida,,,0,,
Owyhee,8,,8,68.4,
Payette,18,4,22,93.4,2
Power,3,,3,38.6,
Shoshone,,,0,,
Teton,10,1,11,94.5,
Twin Falls,277,63,340,395,17
Valley,2,,2,18.1,
Washington,31,1,32,314.9,
