DATE,New_Cases,New_Deaths,Cumulative_Cases,Cumulative_Deaths
3/12/20,0,0,0,0
3/13/20,1,0,1,0
3/14/20,4,0,5,0
3/15/20,0,0,5,0
3/16/20,0,0,5,0
3/17/20,4,0,9,0
3/18/20,2,0,11,0
3/19/20,12,0,23,0
3/20/20,8,0,31,0
3/21/20,11,0,42,0
3/22/20,5,0,47,0
3/23/20,3,0,50,0
3/24/20,23,0,73,0
3/25/20,50,0,123,0
3/26/20,66,3,189,3
3/27/20,41,1,230,4
3/28/20,31,1,261,5
3/29/20,49,1,310,6
3/30/20,105,1,415,7
3/31/20,110,2,525,9
4/1/20,144,0,669,9
4/2/20,222,0,891,9
4/3/20,122,1,1013,10
4/4/20,64,0,1077,10
4/5/20,24,0,1101,10
4/6/20,69,3,1170,13
4/7/20,40,2,1210,15
4/8/20,22,3,1232,18
4/9/20,121,6,1353,24
4/10/20,43,1,1396,25
4/11/20,11,2,1407,27
4/12/20,19,0,1426,27
4/13/20,27,6,1453,33
4/14/20,11,6,1464,39
4/15/20,123,2,1587,41
4/16/20,22,0,1609,41
4/17/20,46,2,1655,43
4/18/20,13,1,1668,44
4/19/20,4,1,1672,45
4/20/20,64,3,1736,48
4/21/20,30,3,1766,51
4/22/20,36,3,1802,54
4/23/20,34,0,1836,54
4/24/20,34,0,1870,54
4/25/20,17,2,1887,56
4/26/20,10,0,1897,56
4/27/20,20,2,1917,58
4/28/20,35,2,1952,60
4/29/20,32,0,1984,60
4/30/20,31,3,2015,63
5/1/20,20,0,2035,63
5/2/20,26,1,2061,64
5/3/20,18,0,2079,64
5/4/20,27,0,2106,64
5/5/20,21,1,2127,65
5/6/20,31,1,2158,66
5/7/20,20,1,2178,67
5/8/20,27,0,2205,67
5/9/20,25,0,2230,67
5/10/20,16,0,2246,67
5/11/20,14,3,2260,70
5/12/20,33,-1,2293,69
5/13/20,31,0,2324,69
5/14/20,27,3,2351,72
5/15/20,38,1,2389,73
5/16/20,30,0,2419,73
5/17/20,17,0,2436,73
5/18/20,19,1,2455,74
5/19/20,21,4,2476,77
5/20/20,30,0,2506,77
5/21/20,28,0,2534,77
5/22/20,61,2,2595,79
5/23/20,31,0,2626,79
5/24/20,39,0,2665,79
5/25/20,19,0,2684,79
5/26/20,15,2,2699,81
5/27/20,32,1,2731,82
5/28/20,38,0,2769,82
5/29/20,34,0,2803,82
5/30/20,36,0,2839,82
5/31/20,57,0,2896,82
6/1/20,10,1,2906,83
6/2/20,27,0,2933,83
6/3/20,57,0,2990,83
6/4/20,64,0,3054,83
6/5/20,57,0,3111,83
6/6/20,28,0,3139,83
6/7/20,28,0,3167,83
6/8/20,22,0,3189,83
6/9/20,31,2,3220,85
6/10/20,40,0,3260,85
6/11/20,42,1,3302,86
6/12/20,51,1,3353,87
6/13/20,46,0,3399,87
6/14/20,9,0,3408,87
6/15/20,54,1,3462,88
6/16/20,78,0,3540,88
6/17/20,92,0,3632,88
6/18/20,111,1,3743,89
6/19/20,128,0,3871,89
6/20/20,135,0,4006,89
6/21/20,84,0,4090,89
6/22/20,164,0,4254,89
6/23/20,148,0,4402,89
6/24/20,243,1,4645,90
6/25/20,220,0,4865,90
6/26/20,283,0,5148,90
6/27/20,171,1,5319,91
6/28/20,224,0,5543,91
6/29/20,209,0,5752,91
6/30/20,365,1,6117,92
7/1/20,253,0,6370,92
7/2/20,223,0,6593,92
7/3/20,401,1,6994,93
7/4/20,376,0,7370,93
7/5/20,363,0,7733,93
7/6/20,319,1,8052,94
